,HIGH,LOW
1,59.59974313,56.41127951
2,77.53584,73.76981349
3,118.9542198,102.030836
4,131.4944552,123.4243984
5,162.8569113,154.0273197
6,147.8719234,119.1520153
7,156.9705169,144.2166624
8,149.1219911,133.6702058
9,115.1169869,112.9807954
10,88.54118219,66.46720325
11,54.59156082,60.28807151
12,46.6006222,47.82695437
13,49.51438742,53.8408873
14,73.37991898,73.16281862
15,103.1149136,105.5185247
16,127.7015285,116.0711525
17,142.2937736,134.6022182
18,170.5013122,134.9123616
19,142.5341347,131.9582461
20,139.4094403,140.8516069
21,110.7211795,103.0451314
22,83.40530309,78.59808101
23,57.91927248,53.4997296
24,45.90897086,45.18788755
25,58.31896182,54.97279188
26,71.67280131,55.48165644
27,116.6379236,97.03892828
28,137.1621273,137.6247314
29,150.0996231,146.9924653
30,151.5028556,136.9308252
31,138.6270404,130.7396398
32,146.0364167,127.3934699
33,113.8006183,106.398952
34,87.47844274,86.52239418
35,54.8185905,51.34905946
36,50.67057339,43.26119709
